name,district,website,has_alumni_platform,alumni_details,alumni_links
Loyola-ICAM College of Engineering and Technology,Chennai,N/A,No,No website found,N/A
BSA Crescent Engineering College,Chennai,N/A,No,No website found,N/A
R.M.K. Engineering College,Chennai,N/A,No,No website found,N/A
Chennai Institute of Technology,Chennai,N/A,No,No website found,N/A
Sri Sivasubramaniya Nadar College of Engineering,Chennai,N/A,No,No website found,N/A
Sri Sai Ram Engineering College,Chennai,N/A,No,No website found,N/A
Sri Sairam Institute of Technology,Chennai,N/A,No,No website found,N/A
Easwari Engineering College,Chennai,N/A,No,No website found,N/A
Jerusalem College of Engineering,Chennai,N/A,No,No website found,N/A
Hindustan Institute of Technology and Science,Chennai,N/A,No,No website found,N/A
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Chennai,N/A,No,No website found,N/A
Ethiraj College for Women,Chennai,N/A,No,No website found,N/A
A.M. Jain College,Chennai,N/A,No,No website found,N/A
Dr.MGR Janaki College of Arts and Science for Women,Chennai,N/A,No,No website found,N/A
Jaya Group of Colleges,Chennai,N/A,No,No website found,N/A
PSG College of Technology,Coimbatore,N/A,No,No website found,N/A
Coimbatore Institute of Technology,Coimbatore,N/A,No,No website found,N/A
"Government College of Technology, Coimbatore",Coimbatore,N/A,No,No website found,N/A
Rathinam Technical Campus,Coimbatore,N/A,No,No website found,N/A
Kumaraguru College of Technology,Coimbatore,N/A,No,No website found,N/A
KPR Institute of Engineering and Technology,Coimbatore,N/A,No,No website found,N/A
Sri Ramakrishna Engineering College,Coimbatore,N/A,No,No website found,N/A
Karpagam College of Engineering,Coimbatore,N/A,No,No website found,N/A
Sri Krishna College of Engineering & Technology,Coimbatore,N/A,No,No website found,N/A
SNS College of Technology,Coimbatore,N/A,No,No website found,N/A
Dr. Mahalingam College of Engineering and Technology,Coimbatore,N/A,No,No website found,N/A
Kumaraguru College of Liberal Arts and Science,Coimbatore,N/A,No,No website found,N/A
Adithya Institute of Technology,Coimbatore,N/A,No,No website found,N/A
Thiagarajar College of Engineering,Madurai,N/A,No,No website found,N/A
Velammal College of Engineering and Technology,Madurai,N/A,No,No website found,N/A
Kamaraj College of Engineering and Technology,Madurai,N/A,No,No website found,N/A
Solamalai College of Engineering,Madurai,N/A,No,No website found,N/A
P.T.R College of Engineering and Technology,Madurai,N/A,No,No website found,N/A
Fathima Michael College of Engineering and Technology,Madurai,N/A,No,No website found,N/A
Ultra College of Engineering and Technology,Madurai,N/A,No,No website found,N/A
Vaigai College of Engineering,Madurai,N/A,No,No website found,N/A
KLN College of Information Technology,Madurai,N/A,No,No website found,N/A
Kongu Engineering College,Erode,N/A,No,No website found,N/A
Bannari Amman Institute of Technology,Erode,N/A,No,No website found,N/A
Erode Sengunthar Engineering College,Erode,N/A,No,No website found,N/A
Velalar College of Engineering and Technology,Erode,N/A,No,No website found,N/A
Institute of Road and Transport Technology,Erode,N/A,No,No website found,N/A
Thangavelu Engineering College,Kanchipuram,N/A,No,No website found,N/A
Kings Engineering College,Kanchipuram,N/A,No,No website found,N/A
Chennai Institute of Technology,Kanchipuram,N/A,No,No website found,N/A
Adhiparasakthi Engineering College,Kanchipuram,N/A,No,No website found,N/A
Mohamed Sathak AJ College of Engineering,Kanchipuram,N/A,No,No website found,N/A
Arunachala College Of Engineering For Women,Kanniyakumari,N/A,No,No website found,N/A
M.Kumarasamy College of Engineering,Karur,N/A,No,No website found,N/A
Chettinad College of Engineering and Technology,Karur,N/A,No,No website found,N/A
"Government College of Engineering, Bargur",Krishnagiri,N/A,No,No website found,N/A
Selvam College of Technology,Namakkal,N/A,No,No website found,N/A
J.K.K.Nattraja College of Engineering and Technology,Namakkal,N/A,No,No website found,N/A
Sengunthar Engineering College,Namakkal,N/A,No,No website found,N/A
A.V.C College of Engineering,Mayiladuthurai,N/A,No,No website found,N/A
E.G.S Pillay Engineering College,Nagapattinam,N/A,No,No website found,N/A
Sembodai Rukumani College of Engineering,Nagapattinam,N/A,No,No website found,N/A
Sir Isaac Newton College of Engineering and Technology,Nagapattinam,N/A,No,No website found,N/A
Arifa Institute of Engineering and Technology,Nagapattinam,N/A,No,No website found,N/A
CK College of Engineering,Cuddalore,N/A,No,No website found,N/A
MRK Institute of Technology,Cuddalore,N/A,No,No website found,N/A
Dr.Navalar Nedunchezhiyan College of Engineering,Cuddalore,N/A,No,No website found,N/A
Krishnaswamy College of Engineering and Technology,Cuddalore,N/A,No,No website found,N/A
St.Anne College of Engineering and Technology,Cuddalore,N/A,No,No website found,N/A
"Government College of Engineering, Salem",Salem,N/A,No,No website found,N/A
Alagappa Chettiar College of Engineering and Technology,Sivagangai,N/A,No,No website found,N/A
Alagappa College of Technology,Chennai,N/A,No,No website found,N/A
Annai Teresa College of Education,Sivagangai,N/A,No,No website found,N/A
Ayya Nadar Janaki Ammal College,Sivakasi,N/A,No,No website found,N/A
Bhajarang Engineering College,Thiruvallur,N/A,No,No website found,N/A
College of Agricultural Technology,Thoothukudi,N/A,No,No website found,N/A
"Government Arts College, Karur",Karur,N/A,No,No website found,N/A
Indra Ganesan College of Engineering,Trichy,N/A,No,No website found,N/A
Film and Television Institute of Tamil Nadu,Chennai,N/A,No,No website found,N/A
ICAT Design & Media College,Chennai,N/A,No,No website found,N/A
